movie_id,movie_title,movie_genres,movie_language,movie_origin_country,movie_overview,movie_release_date,movie_budget,movie_revenue,movie_vote_average,movie_vote_count
163843,The Great Space Voyage,"Family, Adventure, Science Fiction, Romance",ru,Soviet Union,Three youngsters have to take command of a space flight when their adult captain comes down sick and is forced to quarantine himself.,1975-11-05,0,0,5.2,16
5,Four Rooms,Comedy,en,United States of America,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,1995-12-09,4000000,4257354,5.873,2757
13,Forrest Gump,"Comedy, Drama, Romance",en,United States of America,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-06-23,55000000,677387716,8.464,28845
524303,Wide-Awake,,en,United States of America,"Ingénues, icons, action heroes, divas and the world's next great comedy star: 13 actresses who gave the dreamiest performances of 2012.",2012-12-07,0,0,5.8,8
24,Kill Bill: Vol. 1,"Action, Crime",en,United States of America,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",2003-10-10,30000000,180906076,7.97,18282
163869,Just Write,"Romance, Comedy",en,United States of America,A Hollywood tour bus driver poses as a screenwriter to romance an up-and-coming young actress.,1997-03-01,0,0,5.2,12
1146910,Making Waves,"TV Movie, Romance, Comedy",en,"Canada, United States of America","Music executive Amelia goes to a festival on the Outer Banks to beat out the competition for an elusive new band and discovers that the group is fronted by Will, her childhood summer sweetheart. Over the course of the week, as Amelia tries to convince Will that her company is the better choice for his musical vision, she realizes there might be a conflict of interest…her feeling for him.",2023-08-05,0,0,6.6,11
33,Unforgiven,Western,en,United States of America,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",1992-08-07,14400000,159157447,7.908,4726
35,The Simpsons Movie,"Animation, Comedy, Family",en,United States of America,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",2007-07-25,75000000,527068851,7.016,8331
65572,Heart of Midnight,"Thriller, Drama, Horror",en,United States of America,"A young woman who is getting back on her feet after a mental breakdown, Carol Rivers discovers that her late uncle has left her a rundown nightclub. Carol decides to renovate the venue, but, in the process, uncovers dark secrets about the club and her dead relative. After a series of disturbing events, Carol becomes increasingly unstable, but she finds some measure of comfort in Sharpe, an enigmatic older detective.",1988-11-10,5000000,0,5.608,51
